iter	Passed	Remaining
0	54	108002
1	55	55091
2	56	37575
3	57	28638
4	58	23303
5	59	19767
6	60	17238
7	61	15301
8	62	13801
9	63	12613
10	65	11812
11	66	11067
12	68	10453
13	69	9873
14	70	9327
15	71	8850
16	72	8426
17	73	8079
18	75	7827
19	76	7549
20	77	7265
21	77	7008
22	78	6771
23	79	6583
24	81	6416
25	82	6265
26	83	6107
27	85	5996
28	86	5885
29	87	5777
30	88	5650
31	89	5525
32	90	5414
33	91	5311
34	92	5205
35	93	5105
36	94	5005
37	95	4917
38	96	4831
39	98	4811
40	98	4727
41	99	4648
42	100	4575
43	101	4502
44	102	4442
45	103	4379
46	104	4322
47	105	4272
48	106	4222
49	107	4179
50	108	4137
51	109	4097
52	110	4059
53	111	4026
54	112	3987
55	114	3964
56	115	3942
57	119	3985
58	121	3992
59	123	3983
60	128	4077
61	130	4082
62	132	4074
63	136	4118
64	138	4123
65	140	4107
66	141	4082
67	143	4091
68	145	4084
69	147	4079
70	152	4146
71	156	4198
72	159	4203
73	161	4195
74	163	4185
75	164	4163
76	165	4141
77	167	4128
78	169	4123
79	171	4114
80	176	4176
81	177	4148
82	178	4128
83	181	4141
84	182	4121
85	184	4102
86	185	4078
87	186	4049
88	187	4034
89	191	4064
90	195	4096
91	196	4082
92	198	4076
93	200	4073
94	202	4060
95	203	4039
96	206	4058
97	210	4088
98	212	4078
99	216	4120
100	219	4119
101	221	4115
102	223	4117
103	224	4097
104	226	4081
105	227	4072
106	229	4062
107	231	4048
108	232	4035
109	233	4017
110	234	3996
111	235	3975
112	237	3968
113	238	3953
114	240	3937
115	241	3924
116	243	3925
117	245	3915
118	247	3912
119	248	3898
120	249	3877
121	250	3863
122	252	3856
123	255	3863
124	256	3852
125	258	3841
126	260	3836
127	261	3824
128	262	3811
129	264	3808
130	266	3796
131	267	3780
132	269	3776
133	271	3774
134	272	3759
135	273	3748
136	275	3740
137	276	3728
138	279	3747
139	280	3729
140	281	3712
141	282	3696
142	283	3686
143	285	3676
144	287	3674
145	288	3664
146	289	3652
147	290	3638
148	293	3639
149	295	3646
150	297	3642
151	298	3630
152	299	3618
153	301	3612
154	303	3607
155	304	3597
156	305	3583
157	306	3569
158	307	3560
159	308	3547
160	309	3537
161	310	3523
162	311	3509
163	312	3495
164	313	3481
165	313	3469
166	314	3455
167	315	3444
168	316	3431
169	317	3418
170	318	3409
171	320	3401
172	321	3390
173	321	3379
174	322	3366
175	323	3353
176	325	3347
177	326	3337
178	327	3326
179	327	3315
180	328	3305
181	329	3295
182	330	3283
183	331	3272
184	332	3261
185	333	3250
186	334	3239
187	335	3233
188	336	3224
189	337	3214
190	338	3205
191	339	3194
192	340	3184
193	340	3173
194	341	3163
195	342	3155
196	343	3147
197	344	3138
198	346	3131
199	347	3123
200	347	3113
201	348	3103
202	349	3094
203	350	3084
204	351	3079
205	352	3069
206	353	3060
207	354	3050
208	354	3040
209	355	3031
210	356	3022
211	357	3013
212	358	3003
213	358	2995
214	359	2986
215	360	2977
216	361	2968
217	362	2960
218	362	2951
219	364	2947
220	365	2938
221	365	2930
222	366	2921
223	367	2916
224	368	2908
225	369	2900
226	370	2892
227	371	2884
228	371	2876
229	372	2867
230	373	2859
231	374	2852
232	375	2844
233	375	2836
234	376	2828
235	377	2821
236	378	2813
237	379	2807
238	380	2800
239	380	2792
240	381	2785
241	382	2777
242	383	2770
243	384	2765
244	385	2763
245	386	2758
246	387	2750
247	388	2743
248	389	2735
249	389	2728
250	390	2721
251	391	2714
252	392	2708
253	393	2701
254	393	2695
255	394	2688
256	395	2681
257	396	2675
258	396	2668
259	397	2661
260	398	2654
261	399	2647
262	400	2643
263	401	2638
264	402	2633
265	403	2628
266	404	2626
267	405	2622
268	406	2617
269	407	2611
270	408	2606
271	409	2601
272	410	2596
273	411	2591
274	412	2585
275	413	2580
276	413	2574
277	414	2569
278	415	2565
279	416	2560
280	417	2554
281	418	2548
282	419	2543
283	419	2537
284	420	2532
285	421	2526
286	422	2521
287	423	2517
